Column,Indicator,Value
"customer_id","Row Count","99441"
"customer_id","Null Count","0"
"customer_id","Distinct Count","99441"
"customer_id","Min","00012a2ce6f8dcda20d059ce98491703"
"customer_id","Max","ffffe8b65bbe3087b653a978c870db99"
"customer_id","Maximal Length","32"
"customer_id","Minimal Length","32"
"customer_id","Pattern Frequency","9a9a99a9a9a9a9999999a9999a999a99 (0%)"
"customer_unique_id","Row Count","99441"
"customer_unique_id","Null Count","0"
"customer_unique_id","Distinct Count","96096"
"customer_unique_id","Min","0000366f3b9a7992bf8c76cfdf3221e2"
"customer_unique_id","Max","ffffd2657e2aad2907e67c3e9daecbeb"
"customer_unique_id","Maximal Length","32"
"customer_unique_id","Minimal Length","32"
"customer_unique_id","Pattern Frequency","9a99a9aaaa99999aaaaaaaa9a9aa9999 (0.02%)"
"customer_zip_code_prefix","Row Count","99441"
"customer_zip_code_prefix","Null Count","0"
"customer_zip_code_prefix","Distinct Count","14994"
"customer_zip_code_prefix","Min","01003"
"customer_zip_code_prefix","Max","99990"
"customer_zip_code_prefix","Maximal Length","5"
"customer_zip_code_prefix","Minimal Length","5"
"customer_zip_code_prefix","Pattern Frequency","99999 (100%)"
"customer_city","Row Count","99441"
"customer_city","Null Count","0"
"customer_city","Distinct Count","4119"
"customer_city","Min","abadia dos dourados"
"customer_city","Max","zortea"
"customer_city","Maximal Length","32"
"customer_city","Minimal Length","3"
"customer_city","Pattern Frequency","aaa aaaaa (16.12%)"
"customer_state","Row Count","99441"
"customer_state","Null Count","0"
"customer_state","Distinct Count","27"
"customer_state","Min","AC"
"customer_state","Max","TO"
"customer_state","Maximal Length","2"
"customer_state","Minimal Length","2"
"customer_state","Pattern Frequency","AA (100%)"
