Column,Indicator,Value
"geolocation_zip_code_prefix","Row Count","1000163"
"geolocation_zip_code_prefix","Null Count","0"
"geolocation_zip_code_prefix","Distinct Count","19015"
"geolocation_zip_code_prefix","Min","01001"
"geolocation_zip_code_prefix","Max","99990"
"geolocation_zip_code_prefix","Maximal Length","5"
"geolocation_zip_code_prefix","Minimal Length","5"
"geolocation_zip_code_prefix","Pattern Frequency","99999 (100%)"
"geolocation_lat","Row Count","1000163"
"geolocation_lat","Null Count","0"
"geolocation_lat","Distinct Count","717372"
"geolocation_lat","Min","-0.00004367379244740171"
"geolocation_lat","Max","45.06593318269697"
"geolocation_lat","Maximal Length","23"
"geolocation_lat","Minimal Length","7"
"geolocation_lat","Pattern Frequency","-99.999999999999999 (60.83%)"
"geolocation_lng","Row Count","1000163"
"geolocation_lng","Null Count","0"
"geolocation_lng","Distinct Count","717615"
"geolocation_lng","Min","-101.46676644931476"
"geolocation_lng","Max","9.341527629906514"
"geolocation_lng","Maximal Length","19"
"geolocation_lng","Minimal Length","7"
"geolocation_lng","Pattern Frequency","-99.99999999999999 (63.56%)"
"geolocation_city","Row Count","1000163"
"geolocation_city","Null Count","0"
"geolocation_city","Distinct Count","8010"
"geolocation_city","Min","* cidade"
"geolocation_city","Max","óleo"
"geolocation_city","Maximal Length","38"
"geolocation_city","Minimal Length","2"
"geolocation_city","Pattern Frequency","aaa aaaaa (14.1%)"
"geolocation_state","Row Count","1000163"
"geolocation_state","Null Count","0"
"geolocation_state","Distinct Count","27"
"geolocation_state","Min","AC"
"geolocation_state","Max","TO"
"geolocation_state","Maximal Length","2"
"geolocation_state","Minimal Length","2"
"geolocation_state","Pattern Frequency","AA (100%)"
