Column,Indicator,Value
"order_id","Row Count","112650"
"order_id","Null Count","0"
"order_id","Distinct Count","98666"
"order_id","Min","00010242fe8c5a6d1ba2dd792cb16214"
"order_id","Max","fffe41c64501cc87c801fd61db3f6244"
"order_id","Maximal Length","32"
"order_id","Minimal Length","32"
"order_id","Pattern Frequency","9999a99a99a9a99a99a9a9999aaa99aa (0.02%)"
"order_item_id","Row Count","112650"
"order_item_id","Null Count","0"
"order_item_id","Distinct Count","21"
"order_item_id","Min","1"
"order_item_id","Max","9"
"order_item_id","Maximal Length","2"
"order_item_id","Minimal Length","1"
"order_item_id","Pattern Frequency","9 (99.92%)"
"product_id","Row Count","112650"
"product_id","Null Count","0"
"product_id","Distinct Count","32951"
"product_id","Min","00066f42aeeb9f3007548bb9d3f33c38"
"product_id","Max","fffe9eeff12fcbd74a2f2b007dde0c58"
"product_id","Maximal Length","32"
"product_id","Minimal Length","32"
"product_id","Pattern Frequency","aaa9aa9a99aa9a9a9aaa9a99999999aa (0.47%)"
"seller_id","Row Count","112650"
"seller_id","Null Count","0"
"seller_id","Distinct Count","3095"
"seller_id","Min","0015a82c2db000af6aaaf3ae2ecb0532"
"seller_id","Max","ffff564a4f9085cd26170f4732393726"
"seller_id","Maximal Length","32"
"seller_id","Minimal Length","32"
"seller_id","Pattern Frequency","9999999a99a99999a9999aa99a9a99a9 (1.8%)"
"shipping_limit_date","Row Count","112650"
"shipping_limit_date","Null Count","0"
"shipping_limit_date","Distinct Count","93318"
"shipping_limit_date","Min","2016-09-19 00:15:34"
"shipping_limit_date","Max","2020-04-09 22:35:08"
"shipping_limit_date","Maximal Length","19"
"shipping_limit_date","Minimal Length","19"
"shipping_limit_date","Pattern Frequency","9999-99-99 99:99:99 (100%)"
"price","Row Count","112650"
"price","Null Count","0"
"price","Distinct Count","5968"
"price","Min","0.85"
"price","Max","999.99"
"price","Maximal Length","7"
"price","Minimal Length","4"
"price","Pattern Frequency","99.99 (63.01%)"
"freight_value","Row Count","112650"
"freight_value","Null Count","0"
"freight_value","Distinct Count","6999"
"freight_value","Min","0.00"
"freight_value","Max","99.97"
"freight_value","Maximal Length","6"
"freight_value","Minimal Length","4"
"freight_value","Pattern Frequency","99.99 (85.34%)"
