Column,Indicator,Value
"order_id","Row Count","103886"
"order_id","Null Count","0"
"order_id","Distinct Count","99440"
"order_id","Min","00010242fe8c5a6d1ba2dd792cb16214"
"order_id","Max","fffe41c64501cc87c801fd61db3f6244"
"order_id","Maximal Length","32"
"order_id","Minimal Length","32"
"order_id","Pattern Frequency","aa99aaa9a9a999a9aaa9aa9a99999999 (0.03%)"
"payment_sequential","Row Count","103886"
"payment_sequential","Null Count","0"
"payment_sequential","Distinct Count","29"
"payment_sequential","Min","1"
"payment_sequential","Max","9"
"payment_sequential","Maximal Length","2"
"payment_sequential","Minimal Length","1"
"payment_sequential","Pattern Frequency","9 (99.85%)"
"payment_type","Row Count","103886"
"payment_type","Null Count","0"
"payment_type","Distinct Count","5"
"payment_type","Min","boleto"
"payment_type","Max","voucher"
"payment_type","Maximal Length","11"
"payment_type","Minimal Length","6"
"payment_type","Pattern Frequency","aaaaaa_aaaa (73.92%)"
"payment_installments","Row Count","103886"
"payment_installments","Null Count","0"
"payment_installments","Distinct Count","24"
"payment_installments","Min","0"
"payment_installments","Max","9"
"payment_installments","Maximal Length","2"
"payment_installments","Minimal Length","1"
"payment_installments","Pattern Frequency","9 (94.54%)"
"payment_value","Row Count","103886"
"payment_value","Null Count","0"
"payment_value","Distinct Count","29077"
"payment_value","Min","0.00"
"payment_value","Max","999.68"
"payment_value","Maximal Length","8"
"payment_value","Minimal Length","4"
"payment_value","Pattern Frequency","999.99 (48.98%)"
