Column,Indicator,Value
"review_id","Row Count","104162"
"review_id","Null Count","1"
"review_id","Distinct Count","103219"
"review_id","Min","!!!! Recomendo!"
"review_id","Max","🤙🏼👏🏼👏🏼,2018-01-11 00:00:00,2018-01-11 15:56:44"
"review_id","Maximal Length","230"
"review_id","Minimal Length","1"
"review_id","Pattern Frequency",",9999-99-99 99:99:99,9999-99-99 99:99:99 (1.3%)"
"order_id","Row Count","104162"
"order_id","Null Count","4340"
"order_id","Distinct Count","99262"
"order_id","Min",",2017-10-09 00:00:00,2017-10-17 15:53:27"
"order_id","Max","é tudo que eu esperava.,2017-06-03 00:00:00,2017-06-03 19:24:03"
"order_id","Maximal Length","191"
"order_id","Minimal Length","2"
"order_id","Pattern Frequency",",9999-99-99 99:99:99,9999-99-99 99:99:99 (0.01%)"
"review_score","Row Count","104162"
"review_score","Null Count","4802"
"review_score","Distinct Count","141"
"review_score","Min",",2018-08-23 00:00:00,2018-08-25 13:22:11"
"review_score","Max","é inevitável a criacao de bolhas na tela!,2018-02-02 00:00:00,2018-02-05 07:52:53"
"review_score","Maximal Length","189"
"review_score","Minimal Length","1"
"review_score","Pattern Frequency","9 (99.86%)"
"review_comment_title","Row Count","104162"
"review_comment_title","Null Count","92560"
"review_comment_title","Distinct Count","4213"
"review_comment_title","Min","!!!!!!!"
"review_comment_title","Max","🔟"
"review_comment_title","Maximal Length","107"
"review_comment_title","Minimal Length","1"
"review_comment_title","Pattern Frequency","Aaaaaaaaa (7.88%)"
"review_comment_message","Row Count","104162"
"review_comment_message","Null Count","63224"
"review_comment_message","Distinct Count","35338"
"review_comment_message","Min","!!!!!!"
"review_comment_message","Max","😡😡😡😡😡👎👎👎👎👎"
"review_comment_message","Maximal Length","208"
"review_comment_message","Minimal Length","1"
"review_comment_message","Pattern Frequency","Aaaaa aaa (0.8%)"
"review_creation_date","Row Count","104162"
"review_creation_date","Null Count","8789"
"review_creation_date","Distinct Count","637"
"review_creation_date","Min","2016-10-02 00:00:00"
"review_creation_date","Max","mas chegou dia 30/01."
"review_creation_date","Maximal Length","21"
"review_creation_date","Minimal Length","19"
"review_creation_date","Pattern Frequency","9999-99-99 99:99:99 (100%)"
"review_answer_timestamp","Row Count","104162"
"review_answer_timestamp","Null Count","8790"
"review_answer_timestamp","Distinct Count","94453"
"review_answer_timestamp","Min","2016-10-07 18:32:28"
"review_answer_timestamp","Max","2018-10-29 12:27:35"
"review_answer_timestamp","Maximal Length","19"
"review_answer_timestamp","Minimal Length","19"
"review_answer_timestamp","Pattern Frequency","9999-99-99 99:99:99 (100%)"
