Column,Indicator,Value
"order_id","Row Count","99441"
"order_id","Null Count","0"
"order_id","Distinct Count","99441"
"order_id","Min","00010242fe8c5a6d1ba2dd792cb16214"
"order_id","Max","fffe41c64501cc87c801fd61db3f6244"
"order_id","Maximal Length","32"
"order_id","Minimal Length","32"
"order_id","Pattern Frequency","99aa99999999a9999999999999a99999 (0%)"
"customer_id","Row Count","99441"
"customer_id","Null Count","0"
"customer_id","Distinct Count","99441"
"customer_id","Min","00012a2ce6f8dcda20d059ce98491703"
"customer_id","Max","ffffe8b65bbe3087b653a978c870db99"
"customer_id","Maximal Length","32"
"customer_id","Minimal Length","32"
"customer_id","Pattern Frequency","99a999a99999a9aa9999a99aaaaaaa9a (0%)"
"order_status","Row Count","99441"
"order_status","Null Count","0"
"order_status","Distinct Count","8"
"order_status","Min","approved"
"order_status","Max","unavailable"
"order_status","Maximal Length","11"
"order_status","Minimal Length","7"
"order_status","Pattern Frequency","aaaaaaaaa (97.02%)"
"order_purchase_timestamp","Row Count","99441"
"order_purchase_timestamp","Null Count","0"
"order_purchase_timestamp","Distinct Count","98875"
"order_purchase_timestamp","Min","2016-09-04 21:15:19"
"order_purchase_timestamp","Max","2018-10-17 17:30:18"
"order_purchase_timestamp","Maximal Length","19"
"order_purchase_timestamp","Minimal Length","19"
"order_purchase_timestamp","Pattern Frequency","9999-99-99 99:99:99 (100%)"
"order_approved_at","Row Count","99441"
"order_approved_at","Null Count","160"
"order_approved_at","Distinct Count","90733"
"order_approved_at","Min","2016-09-15 12:16:38"
"order_approved_at","Max","2018-09-03 17:40:06"
"order_approved_at","Maximal Length","19"
"order_approved_at","Minimal Length","19"
"order_approved_at","Pattern Frequency","9999-99-99 99:99:99 (100%)"
"order_delivered_carrier_date","Row Count","99441"
"order_delivered_carrier_date","Null Count","1783"
"order_delivered_carrier_date","Distinct Count","81018"
"order_delivered_carrier_date","Min","2016-10-08 10:34:01"
"order_delivered_carrier_date","Max","2018-09-11 19:48:28"
"order_delivered_carrier_date","Maximal Length","19"
"order_delivered_carrier_date","Minimal Length","19"
"order_delivered_carrier_date","Pattern Frequency","9999-99-99 99:99:99 (100%)"
"order_delivered_customer_date","Row Count","99441"
"order_delivered_customer_date","Null Count","2965"
"order_delivered_customer_date","Distinct Count","95664"
"order_delivered_customer_date","Min","2016-10-11 13:46:32"
"order_delivered_customer_date","Max","2018-10-17 13:22:46"
"order_delivered_customer_date","Maximal Length","19"
"order_delivered_customer_date","Minimal Length","19"
"order_delivered_customer_date","Pattern Frequency","9999-99-99 99:99:99 (100%)"
"order_estimated_delivery_date","Row Count","99441"
"order_estimated_delivery_date","Null Count","0"
"order_estimated_delivery_date","Distinct Count","459"
"order_estimated_delivery_date","Min","2016-09-30 00:00:00"
"order_estimated_delivery_date","Max","2018-11-12 00:00:00"
"order_estimated_delivery_date","Maximal Length","19"
"order_estimated_delivery_date","Minimal Length","19"
"order_estimated_delivery_date","Pattern Frequency","9999-99-99 99:99:99 (100%)"
