Column,Indicator,Value
"product_id","Row Count","32951"
"product_id","Null Count","0"
"product_id","Distinct Count","32951"
"product_id","Min","00066f42aeeb9f3007548bb9d3f33c38"
"product_id","Max","fffe9eeff12fcbd74a2f2b007dde0c58"
"product_id","Maximal Length","32"
"product_id","Minimal Length","32"
"product_id","Pattern Frequency","9a9a9aa99aaaaa9999aa99999aa999a9 (0%)"
"product_category_name","Row Count","32951"
"product_category_name","Null Count","610"
"product_category_name","Distinct Count","73"
"product_category_name","Min","agro_industria_e_comercio"
"product_category_name","Max","utilidades_domesticas"
"product_category_name","Maximal Length","46"
"product_category_name","Minimal Length","3"
"product_category_name","Pattern Frequency","aaaaaaaaaa (12.92%)"
"product_name_lenght","Row Count","32951"
"product_name_lenght","Null Count","610"
"product_name_lenght","Distinct Count","66"
"product_name_lenght","Min","10"
"product_name_lenght","Max","9"
"product_name_lenght","Maximal Length","2"
"product_name_lenght","Minimal Length","1"
"product_name_lenght","Pattern Frequency","99 (99.95%)"
"product_description_lenght","Row Count","32951"
"product_description_lenght","Null Count","610"
"product_description_lenght","Distinct Count","2960"
"product_description_lenght","Min","100"
"product_description_lenght","Max","999"
"product_description_lenght","Maximal Length","4"
"product_description_lenght","Minimal Length","1"
"product_description_lenght","Pattern Frequency","999 (74.31%)"
"product_photos_qty","Row Count","32951"
"product_photos_qty","Null Count","610"
"product_photos_qty","Distinct Count","19"
"product_photos_qty","Min","1"
"product_photos_qty","Max","9"
"product_photos_qty","Maximal Length","2"
"product_photos_qty","Minimal Length","1"
"product_photos_qty","Pattern Frequency","9 (99.35%)"
"product_weight_g","Row Count","32951"
"product_weight_g","Null Count","2"
"product_weight_g","Distinct Count","2204"
"product_weight_g","Min","0"
"product_weight_g","Max","998"
"product_weight_g","Maximal Length","5"
"product_weight_g","Minimal Length","1"
"product_weight_g","Pattern Frequency","999 (57.96%)"
"product_length_cm","Row Count","32951"
"product_length_cm","Null Count","2"
"product_length_cm","Distinct Count","99"
"product_length_cm","Min","10"
"product_length_cm","Max","99"
"product_length_cm","Maximal Length","3"
"product_length_cm","Minimal Length","1"
"product_length_cm","Pattern Frequency","99 (98.97%)"
"product_height_cm","Row Count","32951"
"product_height_cm","Null Count","2"
"product_height_cm","Distinct Count","102"
"product_height_cm","Min","10"
"product_height_cm","Max","99"
"product_height_cm","Maximal Length","3"
"product_height_cm","Minimal Length","1"
"product_height_cm","Pattern Frequency","99 (69.91%)"
"product_width_cm","Row Count","32951"
"product_width_cm","Null Count","2"
"product_width_cm","Distinct Count","95"
"product_width_cm","Min","10"
"product_width_cm","Max","98"
"product_width_cm","Maximal Length","3"
"product_width_cm","Minimal Length","1"
"product_width_cm","Pattern Frequency","99 (99.83%)"
