Column,Indicator,Value
"seller_id","Row Count","3095"
"seller_id","Null Count","0"
"seller_id","Distinct Count","3095"
"seller_id","Min","0015a82c2db000af6aaaf3ae2ecb0532"
"seller_id","Max","ffff564a4f9085cd26170f4732393726"
"seller_id","Maximal Length","32"
"seller_id","Minimal Length","32"
"seller_id","Pattern Frequency","9999a9999a99aaa9aa999a999aa9aa99 (0.03%)"
"seller_zip_code_prefix","Row Count","3095"
"seller_zip_code_prefix","Null Count","0"
"seller_zip_code_prefix","Distinct Count","2246"
"seller_zip_code_prefix","Min","01001"
"seller_zip_code_prefix","Max","99730"
"seller_zip_code_prefix","Maximal Length","5"
"seller_zip_code_prefix","Minimal Length","5"
"seller_zip_code_prefix","Pattern Frequency","99999 (100%)"
"seller_city","Row Count","3095"
"seller_city","Null Count","0"
"seller_city","Distinct Count","611"
"seller_city","Min","04482255"
"seller_city","Max","xaxim"
"seller_city","Maximal Length","40"
"seller_city","Minimal Length","2"
"seller_city","Pattern Frequency","aaa aaaaa (23.2%)"
"seller_state","Row Count","3095"
"seller_state","Null Count","0"
"seller_state","Distinct Count","23"
"seller_state","Min","AC"
"seller_state","Max","SP"
"seller_state","Maximal Length","2"
"seller_state","Minimal Length","2"
"seller_state","Pattern Frequency","AA (100%)"
