Column,Indicator,Value
"product_category_name","Row Count","71"
"product_category_name","Null Count","0"
"product_category_name","Distinct Count","71"
"product_category_name","Min","agro_industria_e_comercio"
"product_category_name","Max","utilidades_domesticas"
"product_category_name","Maximal Length","46"
"product_category_name","Minimal Length","3"
"product_category_name","Pattern Frequency","aaaaaaaaaa (4.23%)"
"product_category_name_english","Row Count","71"
"product_category_name_english","Null Count","0"
"product_category_name_english","Distinct Count","71"
"product_category_name_english","Min","agro_industry_and_commerce"
"product_category_name_english","Max","watches_gifts"
"product_category_name_english","Maximal Length","39"
"product_category_name_english","Minimal Length","3"
"product_category_name_english","Pattern Frequency","aaaa (5.63%)"
